"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0

GGSO phase matrix:
-1,1,-1,-1,-1,-1
1,-1,1,-1,-1,-1
-1,1,1,-1,-1,-1
-1,1,-1,1,1,-1
-1,1,-1,1,1,-1
-1,-1,1,-1,-1,1

Internal symmetry group:
[SO(4) x SO(2) x SO(2) x O(1) x O(1) x O(1) x O(1)]_L  x  [SO(3) x SO(3) x SO(2) x SO(2) x O(1) x O(1)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
[0 1 0 0 0 0],psib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0 0],psib12c | - - - ->_L,"(8, 0)",,
[0 1 0 0 0 0],chib12 | - - - ->_L,"(8, 0)",,
[0 1 0 0 0 0],chib12c | - - - ->_L,"(8, 0)",,
[0 0 1 0 0 0],psi12 | + - + +>_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0],psi12c | + - + +>_R,"(0, 8)",,1/2
[0 0 1 0 0 0],psi12 | + - - ->_R,"(0, 8)",gravitino_R,3/2
[0 0 1 0 0 0],psi12c | + - - ->_R,"(0, 8)",,1/2
[0 0 1 0 0 0],psi12 | - + + +>_R,"(0, 8)",,
[0 0 1 0 0 0],psi12c | - + + +>_R,"(0, 8)",,
[0 0 1 0 0 0],psi12 | - + - ->_R,"(0, 8)",,
[0 0 1 0 0 0],psi12c | - + - ->_R,"(0, 8)",,
[0 1 1 0 0 0],| + + + +>_L x | + - + +>_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0],| + + + +>_L x | + - - ->_R,"(8, 8)",H_RR,0
[0 1 1 0 0 0],| + + + +>_L x | - + + +>_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0],| + + + +>_L x | - + - ->_R,"(8, 8)",V_RR,1
[0 1 1 0 0 0],| - - - ->_L x | + - + +>_R,"(8, 8)",,
[0 1 1 0 0 0],| - - - ->_L x | + - - ->_R,"(8, 8)",,
[0 1 1 0 0 0],| - - - ->_L x | - + + +>_R,"(8, 8)",,0
[0 1 1 0 0 0],| - - - ->_L x | - + - ->_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 0, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 0 1],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",H_T,0
[1 0 0 1 0 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",V_T,1
[1 0 0 1 0 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",H_T,0
[1 0 0 1 0 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",V_T,1
[1 0 0 1 0 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 0 1 0 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 0 0 1 0 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,
[1 0 0 1 0 1],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 0 1 1 0 1],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 0 1 1 0 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",,1/2
[1 0 1 1 0 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 1 0 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",,1/2
[1 0 1 1 0 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 1 0 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 0 1 1 0 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,
[1 0 1 1 0 1],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 1 0 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 1 0 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 1 0 1],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 1 0 1],| + + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 1 0 1],| - - +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 1 0 1],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 1 0 1],| - - ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 1 0 1],| - - ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 1 1 0 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 1 0 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 1 0 1],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 1 0 1],| + + ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 1 0 1],| - - +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 1 0 1],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 1 0 1],| - - ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 1 0 1],| - - ->_L x | + +> x | - - ->_R,"(8, 8)",,0

RS producing supersectors:
,(none)

V_T/H_T producing (twisted) supersectors:
,"[1, *, *, 1, 0, 1]"

All twisted supersectors:
,"[1, *, *, 1, 0, 1]"

Spin breakdown by supersector:
"SUSY level (n_susy_L, n_susy_R, total):",1,2,3
Multiplet library source:,computed
Multiplets used:,"SUGRA_N3=[0, 1, 3, 3, 1]","RS_N3=[2, 3, 3, 1, 0]","V_N3=[6, 4, 1, 0, 0]"

Untwisted supersector
Spin,Number of states
0,6
1/2,5
1,4
3/2,3
2,1
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[6, 5, 4, 3, 1]"
Supermultiplet matching (N=3):,1*SUGRA_N3 + 1*V_N3

[1 * * 1 0 1]
Spin,Number of states
0,12
1/2,8
1,2
3/2,0
2,0
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[12, 8, 2, 0, 0]"
Supermultiplet matching (N=3):,2*V_N3
