[0 0 1 1 1 1 0],| - - ->_L x | + +> x | - - +>_R,"(8, 8)",,
[0 0 1 1 1 1 0],| - - ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[0 1 0 1 1 1 0],| + + +>_L x | + +> x | - + ->_R,"(8, 8)",,1/2
[0 1 0 1 1 1 0],| + + +>_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[0 1 0 1 1 1 0],| - - ->_L x | + +> x | + - +>_R,"(8, 8)",,
[0 1 0 1 1 1 0],| - - ->_L x | + +> x | - + +>_R,"(8, 8)",,
[0 1 1 1 1 1 0],| + + +>_L x | + +> x | + + ->_R,"(8, 8)",V_T,1
[0 1 1 1 1 1 0],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",H_T,0
[0 1 1 1 1 1 0],| - - ->_L x | + +> x | - - +>_R,"(8, 8)",,
[0 1 1 1 1 1 0],| - - ->_L x | + +> x | + + +>_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 0, 1, 1, 0]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 0 1 1 0],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",V_T,1
[1 0 0 0 1 1 0],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",H_T,0
[1 0 0 0 1 1 0],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 0 0 0 1 1 0],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 0 1 0 1 1 0],| + - +>_L x | + +> x | - + ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1 0],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1 0],| - + ->_L x | + +> x | + - +>_R,"(8, 8)",,
[1 0 1 0 1 1 0],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,
[1 1 0 0 1 1 0],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 0 1 1 0],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 1 0],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 1 0],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 1 0 1 1 0],| + - +>_L x | + +> x | - + ->_R,"(8, 8)",,0
[1 1 1 0 1 1 0],| + - +>_L x | + +> x | + - ->_R,"(8, 8)",,0
[1 1 1 0 1 1 0],| - + ->_L x | + +> x | + - +>_R,"(8, 8)",,0
[1 1 1 0 1 1 0],| - + ->_L x | + +> x | - + +>_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 0, 0, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 0 0 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",H_T,0
[1 0 0 1 0 0 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",V_T,1
[1 0 0 1 0 0 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 0 0 1 0 0 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 0 1 1 0 0 1],| + - +>_L x | + +> x | + - +>_R,"(8, 8)",,1/2
[1 0 1 1 0 0 1],| + - ->_L x | + +> x | - + ->_R,"(8, 8)",,1/2
[1 0 1 1 0 0 1],| - + +>_L x | + +> x | + - +>_R,"(8, 8)",,
[1 0 1 1 0 0 1],| - + ->_L x | + +> x | - + ->_R,"(8, 8)",,
[1 1 0 1 0 0 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 1 0 0 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 1 0 0 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 1 0 0 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 1 1 0 0 1],| + - +>_L x | + +> x | + - +>_R,"(8, 8)",,0
[1 1 1 1 0 0 1],| + - ->_L x | + +> x | - + ->_R,"(8, 8)",,0
[1 1 1 1 0 0 1],| - + +>_L x | + +> x | + - +>_R,"(8, 8)",,0
[1 1 1 1 0 0 1],| - + ->_L x | + +> x | - + ->_R,"(8, 8)",,0

RS producing supersectors:
,(none)

V_T/H_T producing (twisted) supersectors:
,"[0, *, *, 1, 0, 1, 0]","[0, *, *, 1, 0, 1, 1]","[0, *, *, 1, 1, 1, 0]","[1, *, *, 0, 1, 1, 0]","[1, *, *, 1, 0, 0, 1]"

All twisted supersectors:
,"[0, *, *, 1, 0, 1, 0]","[0, *, *, 1, 0, 1, 1]","[0, *, *, 1, 1, 1, 0]","[1, *, *, 0, 1, 1, 0]","[1, *, *, 1, 0, 0, 1]"

Spin breakdown by supersector:
"SUSY level (n_susy_L, n_susy_R, total):",1,1,2
Multiplet library source:,computed
Multiplets used:,"SUGRA_N2=[0, 0, 1, 2, 1]","RS_N2=[0, 1, 2, 1, 0]","V_N2=[2, 2, 1, 0, 0]","H_N2=[4, 2, 0, 0, 0]"

Untwisted supersector
Spin,Number of states
0,4
1/2,2
1,1
3/2,2
2,1
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[4, 2, 1, 2, 1]"
Supermultiplet matching (N=2):,1*SUGRA_N2 + 1*H_N2

[0 * * 1 0 1 0]
Spin,Number of states
0,6
1/2,4
1,1
3/2,0
2,0
"Spin vector [n0, n1/2, n1, n3/2, n2]:","[6, 4, 1, 0, 0]"
Supermultiplet matching (N=2):,1*V_N2 + 1*H_N2

[0 * * 1 0 1 1]
