n,N,k,K,Class
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 1)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 1)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(0, 1)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 0)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 0)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 0)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 0)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 0, 1, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 0, 1, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 0, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(0, 0)","(1, 0, 1, 1, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
