n1,n2,N1,N2,N3,N4,N5,N6,K1,K2,K3,K4,K5,K6,k1,k2,m3,m4,m5,m6,PaperLabel,TwistBasis,Unique,ClassRepresentative,EquivalentTo,IsRepresentative,RelabellingToRepresentative,EquivalenceNotes
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,ii-iii-C,b1 + e1`3 ; b`1 + e23`1`2 ; b2`2 + e3`3,no,ii-iii-A.2,ii-iii-A.2,no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12","= ii-iii-A.2.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,iii-ii-C,b1 + e12`2`3 ; b`1 + e3`1 ; b2`2 + e3`3,no,iii-ii-A.2,iii-ii-A.2,no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12","= iii-ii-A.2.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,iii-iii-C.1,b1 + e12`1`3 ; b`1 + e13`1`2 ; b2`2 + e3`3,no,iii-iii-A.2,iii-iii-A.2,no,"left: 3->5, 4->6, 5->3, 6->4 ; y<->w on 2  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 2","= iii-iii-A.2.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4 ; y<->w on 2.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 (B1, B1b unchanged)"
1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,iii-iii-C.2,b1 + e12`3`5 ; b`1 + e35`1`2 ; b2`2 + e3`3,no,iii-iii-B.2,iii-iii-B.2,no,"left: identity  |  right: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12","= iii-iii-B.2.  E2/E3 permutation -- holomorphic: identity; anti-holomorphic: 3->5, 4->6, 5->3, 6->4 ; y<->w on 12.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1b + B2b2 (B1, B1b unchanged)"
1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,iii-iii-D,b1 + e12`3`4 ; b`1 + e34`1`2 ; b2`2 + e56`5`6,no,iii-iii-A.3,iii-iii-A.3,no,"left: 3->5, 4->6, 5->3, 6->4  |  right: 3->5, 4->6, 5->3, 6->4","= iii-iii-A.3.  E2/E3 permutation -- holomorphic and anti-holomorphic indices both: 3->5, 4->6, 5->3, 6->4.  E1 change of basis (E = 1+S+Sb) -- B2b2 -> B1 + B1b + B2b2 + E (B1, B1b unchanged)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,i-i-E,b1 ; b`1 ; b2`2 + e35`3`5,yes,i-i-E,,yes,,unique -- no other configuration in the list is equivalent to it
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,i-ii-E,b1 ; b`1 + e1`1 ; b2`2 + e35`3`5,yes,i-ii-E,,yes,,unique -- no other configuration in the list is equivalent to it
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,i-iii-E,b1 ; b`1 + e12`1`2 ; b2`2 + e35`3`5,yes,i-iii-E,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,ii-i-E,b1 + e1`1 ; b`1 ; b2`2 + e35`3`5,yes,ii-i-E,,yes,,unique -- no other configuration in the list is equivalent to it
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,ii-ii-E.1,b1 + e1`1 ; b`1 + e1`1 ; b2`2 + e35`3`5,yes,ii-ii-E.1,,yes,,unique -- no other configuration in the list is equivalent to it
