n12,N,k12,K,m3456,mb3456,satisfies_all_constraints,equivalent_to_solution_index
"(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,1
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,31
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,39
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,30
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,35
"(1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,15
"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,13
"(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,18
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,32
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,38
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,11
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,26
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,27
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,29
"(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,36
"(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,40
"(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 1)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0)","(1, 0, 1, 0)",TRUE,37
