"Basis matrix: (psi,chi,y,w | psib,chib,yb,wb)"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0

GGSO phase matrix:
1,-1,1,1
-1,1,1,1
1,1,-1,-1
1,-1,1,1

Internal symmetry group:
[SO(8) x SO(4)]_L  x  [SO(8) x SO(4)]_R
Internal fermion groups (same BC in all basis vectors):
Group,Left fermions,SO_L,Right fermions,SO_R
"(1.0, 0.0, 0.0, 0.0)",y1 y2 w1 w2 w3 w4 w5 w6,SO(8),yb1 yb2 wb1 wb2 wb3 wb4 wb5 wb6,SO(8)
"(1.0, 0.0, 0.0, 1.0)",y3 y4 y5 y6,SO(4),yb3 yb4 yb5 yb6,SO(4)
Complex-fermion pairings (LL / RR / LR):
LL,"(y1,y2)",-> y12
LL,"(w1,w2)",-> w12
LL,"(w3,w4)",-> w34
LL,"(w5,w6)",-> w56
LL,"(y3,y4)",-> y34
LL,"(y5,y6)",-> y56
RR,"(yb1,yb2)",-> yb12
RR,"(wb1,wb2)",-> wb12
RR,"(wb3,wb4)",-> wb34
RR,"(wb5,wb6)",-> wb56
RR,"(yb3,yb4)",-> yb34
RR,"(yb5,yb6)",-> yb56

Untwisted supersector:,,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[0 0 0 1],| - + + ->_L x | - - + +>_R,"(8, 8)",,0
[0 0 0 1],| - + + ->_L x | - - - ->_R,"(8, 8)",,0
[0 0 0 1],| - + - +>_L x | + + + +>_R,"(8, 8)",,0
[0 0 0 1],| - + - +>_L x | + + - ->_R,"(8, 8)",,0
[0 0 0 1],| - + - +>_L x | - - + +>_R,"(8, 8)",,0
[0 0 0 1],| - + - +>_L x | - - - ->_R,"(8, 8)",,0
[0 0 0 1],| - + - ->_L x | + + + ->_R,"(8, 8)",,0
[0 0 0 1],| - + - ->_L x | + + - +>_R,"(8, 8)",,0
[0 0 0 1],| - + - ->_L x | - - + ->_R,"(8, 8)",,0
[0 0 0 1],| - + - ->_L x | - - - +>_R,"(8, 8)",,0
[0 0 1 1],| + - + +>_L x | + - + ->_R,"(8, 8)",,1/2
[0 0 1 1],| + - + +>_L x | + - - +>_R,"(8, 8)",,1/2
[0 0 1 1],| + - + +>_L x | - + + ->_R,"(8, 8)",,
[0 0 1 1],| + - + +>_L x | - + - +>_R,"(8, 8)",,
[0 0 1 1],| + - + ->_L x | + - + +>_R,"(8, 8)",,1/2
[0 0 1 1],| + - + ->_L x | + - - ->_R,"(8, 8)",,1/2
[0 0 1 1],| + - + ->_L x | - + + +>_R,"(8, 8)",,
[0 0 1 1],| + - + ->_L x | - + - ->_R,"(8, 8)",,
[0 0 1 1],| + - - +>_L x | + - + +>_R,"(8, 8)",,1/2
[0 0 1 1],| + - - +>_L x | + - - ->_R,"(8, 8)",,1/2
[0 0 1 1],| + - - +>_L x | - + + +>_R,"(8, 8)",,
[0 0 1 1],| + - - +>_L x | - + - ->_R,"(8, 8)",,
[0 0 1 1],| + - - ->_L x | + - + ->_R,"(8, 8)",,1/2
[0 0 1 1],| + - - ->_L x | + - - +>_R,"(8, 8)",,1/2
[0 0 1 1],| + - - ->_L x | - + + ->_R,"(8, 8)",,
[0 0 1 1],| + - - ->_L x | - + - +>_R,"(8, 8)",,
[0 0 1 1],| - + + +>_L x | + - + ->_R,"(8, 8)",,1/2
[0 0 1 1],| - + + +>_L x | + - - +>_R,"(8, 8)",,1/2
[0 0 1 1],| - + + +>_L x | - + + ->_R,"(8, 8)",,
[0 0 1 1],| - + + +>_L x | - + - +>_R,"(8, 8)",,
[0 0 1 1],| - + + ->_L x | + - + +>_R,"(8, 8)",,1/2
[0 0 1 1],| - + + ->_L x | + - - ->_R,"(8, 8)",,1/2
[0 0 1 1],| - + + ->_L x | - + + +>_R,"(8, 8)",,
[0 0 1 1],| - + + ->_L x | - + - ->_R,"(8, 8)",,
[0 0 1 1],| - + - +>_L x | + - + +>_R,"(8, 8)",,1/2
[0 0 1 1],| - + - +>_L x | + - - ->_R,"(8, 8)",,1/2
[0 0 1 1],| - + - +>_L x | - + + +>_R,"(8, 8)",,
[0 0 1 1],| - + - +>_L x | - + - ->_R,"(8, 8)",,
[0 0 1 1],| - + - ->_L x | + - + ->_R,"(8, 8)",,1/2
[0 0 1 1],| - + - ->_L x | + - - +>_R,"(8, 8)",,1/2
