n,N,m,M,Label,TwistBasis,NumberOfMIParameterChoices
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",I,b1 ; b2,4
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)",III,b1 ; b2 + e`3`4`5`6,180
"(0, 0)","(0, 0, 0, 0, 0, 0)","(0, 1, 0, 1)","(0, 0, 0, 0, 0, 1)",II,b1 ; b2 + e46`6,288
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",VI,b1 + e`3`4`5`6 ; b2 + e`1`2`5`6,360
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1)","(0, 1, 0, 1, 1, 1)",V,b1 + e`3`4`5`6 ; b2 + e56`2`4`5`6,480
"(0, 0)","(0, 0, 1, 1, 1, 1)","(0, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",IV,b1 + e`3`4`5`6 ; b2 + e46`2,1440
